instrument,date,R
NZDUSD,2016-08-01,0.0
GBPUSD,2016-08-05,0.0
USDCHF,2016-08-11,0.0
EURUSD,2016-08-12,-1.0
EURGBP,2016-08-26,2.0
AUDUSD,2016-09-07,-1.0
EURUSD,2016-09-07,-1.0
USDJPY,2016-09-13,-0.972
GBPUSD,2016-09-14,2.0
AUDUSD,2016-10-19,0.0
NZDUSD,2016-10-31,0.0
EURGBP,2016-11-02,-1.0
USDCHF,2016-11-15,2.0
EURGBP,2016-12-22,2.0
EURUSD,2017-01-06,0.0
USDCHF,2017-01-06,2.0
GBPUSD,2017-01-18,2.0
EURGBP,2017-01-24,-0.352
USDJPY,2017-02-17,2.0924
GBPUSD,2017-02-24,-1.0
NZDUSD,2017-02-24,-1.0
AUDUSD,2017-03-03,2.0
EURUSD,2017-03-06,2.0
NZDUSD,2017-04-03,0.0
GBPUSD,2017-04-10,-1.0
EURGBP,2017-05-05,2.0
USDCHF,2017-05-09,-1.0
USDJPY,2017-05-18,0.0355
AUDUSD,2017-06-05,2.0
GBPUSD,2017-06-08,-1.097
EURUSD,2017-06-09,-1.0
USDCHF,2017-06-27,-1.117
AUDUSD,2017-07-13,2.0
EURGBP,2017-07-14,-1.0
GBPUSD,2017-07-27,0.0
USDJPY,2017-07-27,0.0
NZDUSD,2017-08-08,0.0
USDCHF,2017-08-23,-1.0
GBPUSD,2017-09-06,2.0
USDCHF,2017-09-12,2.0
EURUSD,2017-09-14,2.0
AUDUSD,2017-09-22,2.0
EURGBP,2017-10-23,0.0
GBPUSD,2017-10-26,2.0
EURUSD,2017-11-10,2.0
NZDUSD,2017-11-28,2.0
USDJPY,2017-12-08,-1.021
AUDUSD,2017-12-14,2.0
EURUSD,2017-12-14,2.0
USDCHF,2018-01-10,-1.0
EURGBP,2018-01-18,2.0
AUDUSD,2018-02-05,2.0
EURGBP,2018-02-05,-0.5922
EURUSD,2018-02-06,0.0
GBPUSD,2018-02-16,-0.2496
EURUSD,2018-02-21,0.9023
USDCHF,2018-02-21,2.0
NZDUSD,2018-04-20,2.0
AUDUSD,2018-05-11,2.0
EURGBP,2018-05-16,-1.0
NZDUSD,2018-05-30,-1.0
EURUSD,2018-06-07,-0.7908
USDJPY,2018-06-12,1.9294
NZDUSD,2018-06-15,2.0
USDCHF,2018-06-25,-1.0
AUDUSD,2018-07-02,-1.0
AUDUSD,2018-07-12,0.0
USDCHF,2018-07-23,2.0
NZDUSD,2018-07-24,2.0
NZDUSD,2018-08-22,-1.0
AUDUSD,2018-08-24,0.0
EURUSD,2018-09-14,-1.0
NZDUSD,2018-09-20,-1.0
EURGBP,2018-09-24,-1.0
USDJPY,2018-10-11,-0.381
NZDUSD,2018-10-16,2.0
GBPUSD,2018-10-18,0.0
EURGBP,2018-11-02,0.0
GBPUSD,2018-11-12,0.0
EURUSD,2018-11-19,0.0
USDCHF,2018-11-19,2.0
USDJPY,2018-12-18,2.0432
EURGBP,2018-12-24,2.0
EURUSD,2019-02-06,0.0
NZDUSD,2019-02-07,-1.0
EURGBP,2019-02-20,0.0
USDJPY,2019-02-27,-0.9947
USDCHF,2019-03-06,-1.0
GBPUSD,2019-03-12,-0.4461
USDJPY,2019-03-15,-1.008
AUDUSD,2019-03-25,2.0
EURGBP,2019-03-25,-1.0
EURUSD,2019-03-27,0.0
USDJPY,2019-05-22,-1.015
USDCHF,2019-05-24,2.0
EURUSD,2019-06-17,-1.0
USDJPY,2019-06-20,-0.091
AUDUSD,2019-06-25,0.0
EURUSD,2019-07-02,2.0
GBPUSD,2019-07-02,2.0
USDCHF,2019-07-02,-0.2324
NZDUSD,2019-07-10,-1.0
EURGBP,2019-07-19,2.0
